행정동코드,인구수
31570310,9876
31570320,12694
31570330,5179
31570350,3361
31570360,8920
31580110,36233
31580310,9549
31580320,4452
31580330,13453
31580340,7596
31580350,8900
31580360,3733
31580370,3739
31580380,4311
31580390,6723
31580400,18087
31580410,4846
32010110,7325
32010310,19678
32010320,1514
32010330,2478
32010340,16451
32010350,991
32010360,3514
32010370,3645
32010380,2226
32010390,915
32010520,4377
32010530,2554
32010540,5291
32010570,8877
32010580,8603
32010600,13742
32010610,13785
32010620,19084
32010630,4027
32010640,18027
32010650,5133
32010660,33499
32010670,45855
32010680,25065
32010710,25127
32020110,19008
32020310,7910
32020320,3246
32020330,32084
32020340,2149
32020350,2026
32020360,14878
32020370,7038
32020380,3392
32020510,2337
32020520,3755
32020530,11832
32020540,7669
32020550,17906
32020560,41902
32020570,8376
32020580,4211
32020600,27169
32020610,15428
32020620,12430
32020630,23387
32020640,7271
32020660,8567
32020670,35766
32020680,45983
32030110,15482
32030310,3392
32030320,1400
32030330,4153
32030340,3905
32030350,3196
32030360,5493
32030370,6339
32030510,15321
32030520,4495
32030540,3198
32030550,24393
32030560,7062
32030570,10535
32030580,11518
32030590,4428
32030600,9358
32030610,22213
32030620,16279
32030650,26437
32030670,13755
32040510,28804
32040520,3325
32040530,20073
32040540,4551
32040550,4614
32040570,2903
32040590,2842
32040600,12950
32040630,3190
32040650,2421
32050510,7271
32050520,3740
32050530,4942
32050540,11307
32050550,2141
32050560,3148
32050580,1717
32050620,3324
32060510,4308
32060520,5133
32060540,5322
32060560,8612
32060570,19990
32060580,28560
32060590,4871
32060600,2962
32070110,9001
32070120,4576
32070310,4894
32070320,1238
32070330,641
32070340,1625
32070350,627
32070360,623
32070510,6356
32070520,7108
32070530,16788
32070540,9476
32510110,32791
32510310,4176
32510320,2343
32510330,2317
32510340,3602
32510360,5498
32510370,3864
32510380,3999
32510390,3244
32510400,3885
32520110,20379
32520310,4485
32520320,3269
32520330,6177
32520340,2386
32520350,2316
32520360,3278
32520370,1923
32520380,1734
32530110,19278
32530120,996
32530330,1898
32530340,2042
32530360,3632
32530380,1715
32530390,2589
32530400,1968
32530410,1331
32540110,8011
32540310,1470
32540320,2424
32540330,4834
32540340,5573
32540350,2943
32540360,8200
32540370,5561
32550110,9468
32550120,3872
32550130,4025
32550140,3191
32550320,3040
32550340,2354
32550350,3272
32550360,1447
32550370,1834
32560110,4630
32560120,3253
32560130,11002
32560140,13767
32560210,82
32560260,0
32560270,0
32560280,0
32560290,0
32560310,5082
32560320,2253
32570110,7867
32570310,2527
32570320,2763
32570330,3488
32570340,5633
32580110,12695
32580320,1883
32580330,1138
32580340,1422
32580350,3305
32590110,10494
32590310,4042
32590320,7349
32590330,4843
32590340,2486
32590350,1953
32600110,7104
32600120,5395
32600260,0
32600310,2146
32600320,3264
32600330,9865
32610110,11952
32610310,2514
32610320,2265
32610330,2577
32610340,2913
32610350,4466
33020110,6622
33020310,1857
33020320,2741
33020340,3093
33020350,2177
33020360,3734
33020380,3736
33020390,3489
33020400,2156
