name,lat,lng
만도카모터스,37.50301738,127.0872547
성민자동차공업사,37.5245526,126.8923311
터보모터스,37.5966326,126.6320827
스피드메이트 신창점,35.185436,126.8343437
에이펙스 모터스,35.2393274,128.860283
진모터스,37.33802205,127.0798733
티스테이션 천안백석점,36.8382755,127.1173438
카프렌즈,35.2704884,128.5266163
제이엔모터스,35.17425729,129.0698708
제이제이모터스,37.4467652,126.7907907
이제이모터스,35.80112578,127.1281428
메카닉S,37.26302528,127.1388054
카닥엔진오일TEST,37.5181499,130.798102
오로라카센타,37.23741971,127.1845349
애니카랜드 재송점,35.1876976,129.1261457
픽 모터스,37.2065851,126.9833698
TMJ모터스,37.7205343,126.8486691
비히클웍스,37.18564305,127.0331179
애니카랜드 진월점,35.1189805,126.8980524
타이어크루,37.2202745,126.9770564
주식회사 씨티엘,35.1836682,128.1433914
스피드메이트 옥정점,37.8512813,127.0789968
아우토웍스,37.705574,126.7320696
더타이어샵 삼송점,37.65275505,126.8918048
케이게러지,37.3131131,126.8221419
삼성모터스,37.4091599,127.0970674
세광자동차정비,37.4923824,126.76837
케이모터스,37.67437539,126.7991453
더타이어샵남구점,35.5328058,129.3309827
메가스패너,35.1733376,129.0602299
태백카센타,37.1587174,128.989432
선우자동차공업사,37.3559961,127.9499859
차사랑카센터,37.4995156,126.5540543
마스타성남정자1호점,37.3615398,127.1105253
에스엠모터스,37.2190058,127.0539834
든든타이어,36.3263368,127.3701904
서울자동차공업사,35.1048496,129.024302
공임천국 의정부점,37.750091,127.0541907
자동차의모든것 car&man울산매곡점,35.6356774,129.3595724
르노코리아경주점,35.8665288,129.2234938
피닉스오토솔루션,35.1691092,128.1101404
엔진핏(ENGINE FIT),37.3295636,126.8183778
주식회사 에이오토플러스,37.2342623,126.9692825
진모터스,35.8419227,128.5682253
삼성카크리닉,37.4776595,126.9869391
아우토반 모토웍스,37.5084715,127.1520697
지오 모터스,37.3894064,127.0918659
어바웃모터스,37.7452425,127.0898807
추부1급자동차공업사,36.1880895,127.4551234
오앤오 모터스,37.172356,127.120938
에이비타이어모터스,35.5397488,129.3199268
에이비타이어모터스 울산 중구점,35.5705556,129.3492837
EL MOTORS,35.1830742,129.1266249
뉴삼성카서비스,37.5424298,127.2195149
타이어프로 서김해IC점,35.2240846,128.8492332
스피드메이트 하계점,37.6419593,127.0703542
한스모터스,37.8035998,127.1030582
르노코리아갈현점,37.6281473,126.9192133
도당현대모터스,37.5216002,126.7953124
한국지엠성서바로서비스,35.8353159,128.4861089
르노코리아 서비스코너 답십리점,37.5733613,127.0663381
티스테이션 전주역점,35.8460883,127.1520252
KC모터스,37.7356898,127.2144643
아트모빌,37.7734693,126.7526452
카젠 금곡점,37.2722981,126.9429934
삼성모터스케어,35.8545899,128.5377187
서부카센타,37.0651945,127.05445
차사랑,37.8376609,127.0550179
티스테이션천안원성점,36.7988714,127.1565244
와이모터스,35.2698358,129.092961
(주)엔카모터스,37.2294342,127.0472473
구트개러지,35.2568016,129.0943049
발통천국 본점,35.8371453,128.536376
젠틀모터스,37.7277935,126.705175
코리아모터스,37.7720094,126.7330598
보쉬카서비스 운정점,37.7191405,126.7388018
365타이어카센터,37.6442559,127.1331084
