ADM_CD,ADM_NM,lat,lon,area_km2
11230530,논현2동,37.515236,127.036194,1.4574
11230580,삼성1동,37.515294,127.060917,1.9431
11230590,삼성2동,37.511877,127.048825,1.2413
11230600,대치1동,37.493266,127.059084,0.8092
11230630,대치4동,37.501561,127.054748,0.7005
11230640,역삼1동,37.500855,127.035509,2.3603
11230650,역삼2동,37.498506,127.044901,1.1342
11230660,도곡1동,37.488898,127.040956,1.0498
11230670,도곡2동,37.488296,127.049769,0.99
11230680,개포1동,37.477809,127.062261,1.4488
11230710,개포4동,37.475326,127.053425,1.6642
11230720,일원본동,37.482213,127.08456,2.3528
11230730,일원1동,37.493508,127.089118,0.9527
11230750,수서동,37.486866,127.100146,1.6281
11230760,세곡동,37.47065,127.104332,6.362
11230770,압구정동,37.529742,127.034244,2.3433
11230780,청담동,37.524364,127.050428,2.3274
11230790,대치2동,37.500988,127.065667,1.836
11230800,개포2동,37.484672,127.069031,2.2416
11240510,풍납1동,37.538476,127.114707,1.0745
11240520,풍납2동,37.530208,127.10815,2.5626
11240530,거여1동,37.494761,127.141857,0.5219
11240540,거여2동,37.492232,127.147101,0.5092
11240550,마천1동,37.495326,127.156019,0.5748
11240560,마천2동,37.500531,127.150618,0.89
11240570,방이1동,37.50983,127.122422,0.6088
11240580,방이2동,37.513249,127.113886,0.7692
11240590,오륜동,37.517424,127.128849,3.0827
11240600,오금동,37.503979,127.134012,1.6476
11240610,송파1동,37.507237,127.110315,0.6864
11240620,송파2동,37.502851,127.116886,0.6305
11240630,석촌동,37.502763,127.102509,0.9462
11240640,삼전동,37.501928,127.091921,0.9526
11240650,가락본동,37.497033,127.121667,1.014
11240660,가락1동,37.495172,127.10826,1.3922
11240670,가락2동,37.495915,127.130789,0.9316
11240680,문정1동,37.488493,127.126823,0.6121
11240690,문정2동,37.481178,127.119122,2.2403
11240710,잠실본동,37.505989,127.082608,1.0282
11240750,잠실4동,37.520709,127.109153,0.7796
11240770,잠실6동,37.519816,127.099368,1.5068
11240780,잠실7동,37.507334,127.073885,0.7229
11240790,잠실2동,37.517426,127.079467,2.6848
11240800,잠실3동,37.513918,127.094283,1.5415
11240810,장지동,37.483017,127.131501,1.2774
11240820,위례동,37.481548,127.141225,2.6386
11250530,명일1동,37.550354,127.145857,0.6344
11250540,명일2동,37.548309,127.154221,0.9136
11250550,고덕1동,37.561713,127.15092,1.5158
11250560,고덕2동,37.565126,127.162717,2.4749
11250580,암사2동,37.557045,127.123668,2.1726
11250590,암사3동,37.561222,127.138649,1.798
11250610,천호1동,37.546301,127.138525,0.6685
11250630,천호3동,37.539677,127.133247,0.5611
11250650,성내1동,37.528718,127.125482,0.6632
11250660,성내2동,37.534354,127.127727,0.6247
11250670,성내3동,37.52838,127.13378,0.6469
11250700,둔촌1동,37.523058,127.140396,0.9115
11250710,둔촌2동,37.531347,127.147204,1.5492
11250720,암사1동,37.551806,127.134613,0.7349
11250730,천호2동,37.545,127.12204,1.8497
11250740,길동,37.539733,127.145924,1.6303
11250750,강일동,37.568987,127.173351,2.2704
11250760,상일1동,37.550636,127.164793,1.8026
11250770,상일2동,37.551805,127.177539,1.1155
21010510,중앙동,35.104907,129.038813,0.8153
21010520,동광동,35.103514,129.034422,0.1621
21010530,대청동,35.105226,129.03097,0.3562
21010540,보수동,35.106292,129.025024,0.4134
21010560,부평동,35.101119,129.025218,0.2247
21010570,광복동,35.100313,129.030962,0.2101
21010580,남포동,35.09738,129.030212,0.2528
21010590,영주1동,35.111794,129.035188,0.2161
21010600,영주2동,35.112148,129.030638,0.4288
21020510,동대신1동,35.109992,129.022283,0.2308
21020520,동대신2동,35.113404,129.023135,0.4354
21020530,동대신3동,35.123751,129.021661,1.4689
21020540,서대신1동,35.108926,129.012448,0.6309
21020560,서대신3동,35.114143,129.008584,0.7042
