업체코드,업체명,위도,경도,월평균 예약 수,재구매율,익일배송여부,활성 여부
"2,718",진모터스,35.8419227,128.5682253,4.5,22%,N,Y
517,스피드메이트터미널점,34.8106846,126.4230966,3.5,43%,N,Y
651,북부자동차정비공업사,35.58045317,129.3201274,1.5,33%,N,Y
908,유노스모터샵,37.8758693,127.7192497,2.5,40%,N,Y
"1,326",주식회사 드래곤타이어둔산오정점,36.3476379,127.4170463,2,50%,N,Y
"2,120",더타이어샵남구점,35.5328058,129.3309827,4,38%,N,Y
"2,353",서울자동차공업사,35.1048496,129.024302,2,75%,N,Y
351,지성모터스,35.1837113,128.1111055,1,50.00%,N,Y
444,타이어프로 인동점,36.1098166,128.4178323,3.5,14%,N,Y
"1,027",한성자동차공업사,37.4015403,127.2704016,1,0%,N,Y
"1,046",골드정비,35.86361255,129.224895,1,50%,N,Y
"1,430",안양 그린자동차 공업사,37.3828723,126.948346,0.5,100.00%,N,Y
"1,431",한스모터스,37.4513762,126.7275389,0.5,0%,N,Y
"1,765",더조은정비,35.16544363,126.9154214,1.5,0%,N,Y
"2,100",아우토웍스,37.705574,126.7320696,2.5,60%,N,Y
"2,453",자동차의모든것 car&man울산매곡점,35.6356774,129.3595724,3,17%,N,Y
253,kb매직카(산본카센타),37.3505878,126.9539948,2.5,40%,Y,Y
"1,093",하나로카센터,37.33838684,127.1070611,0.5,100%,N,Y
"1,155",미소자동차서비스,37.38204058,126.937506,3.5,0%,Y,Y
"1,829",금호타이어원시점,37.3041361,126.8613391,0.5,0.00%,N,Y
"1,837",타이어티즈,36.3643607,127.4222738,3,50%,N,Y
"2,011",진모터스,37.33802205,127.0798733,0.5,100%,N,Y
"2,021",제이제이모터스,37.4467652,126.7907907,2,0%,N,Y
"2,320",든든타이어,36.3263368,127.3701904,3.5,43%,N,Y
"3,082",EL MOTORS,35.1830742,129.1266249,4.5,11%,N,Y
276,청춘자동차공업사,37.6981127,127.2034282,1.5,33%,N,Y
554,만복자동차공업사,37.49942654,126.8869505,2,25%,Y,Y
833,스피드메이트 안동용상점,36.5527006,128.7542766,3,33%,N,Y
886,중구카서비스,36.3067401,127.3938301,2.5,40%,N,Y
"1,277",스피드메이트 구미이마트,36.1094822,128.3649038,2.5,20%,N,Y
"1,511",애니카랜드 화명점,35.2321353,129.0079009,3,0%,N,Y
"1,639",금호타이어프로수송점,35.9526799,126.715304,4,25%,N,Y
"1,752",1급카포스정비,35.0913332,128.9708242,1.5,0%,N,Y
"2,851",지오 모터스,37.3894064,127.0918659,2.5,20%,Y,Y
271,서운자동차공업사,36.9423227,127.2592178,2.5,60%,N,Y
764,애니카랜드 효성점,37.533646,126.7081738,2,0%,N,Y
"1,174",경인자동차,37.5339209,126.8324474,1,100%,Y,Y
"1,791",베스트카 정비센터,37.5272395,126.7474909,1,50%,N,Y
"2,080",비히클웍스,37.18564305,127.0331179,0,,N,Y
"2,082",애니카랜드 진월점,35.1189805,126.8980524,2,0%,N,Y
"2,751",삼성카크리닉,37.4776595,126.9869391,3.5,0%,Y,Y
"3,612",티스테이션 전주역점,35.8460883,127.1520252,4.5,44%,N,Y
831,스피드메이트 안동송현점,36.5723773,128.6997025,3,33%,N,Y
"1,256",진모터스(동두천),37.8822007,127.0558335,2,75%,N,Y
"1,551",쌍용카센타,37.4489656,126.6687336,1.5,33%,N,Y
"1,850",오토오아시스 화남점,35.8433523,128.6919877,2,25%,N,Y
"2,553",피닉스오토솔루션,35.1691092,128.1101404,2,25%,N,Y
103,NK모터스,35.1466701,128.7065939,1.5,33%,N,Y
754,트윈(TWIN)모터스,37.7374667,127.0698857,1.5,33%,N,Y
942,에이원자동차정비,35.8951238,128.594815,2.5,20%,N,Y
"1,061",금호타이어 봉동대리점,35.937478,127.164351,2,50%,N,Y
"1,197",24시자동차서비스,35.4662396,129.3332763,0,,N,Y
"1,960",에이펙스 모터스,35.2393274,128.860283,1,0%,N,Y
"2,046",애니카랜드 재송점,35.1876976,129.1261457,1.5,0%,N,Y
"2,254",마스타성남정자1호점,37.3615398,127.1105253,1.5,33%,Y,Y
257,한솔모터스(HS모터스),37.16612585,127.1776039,1,50%,N,Y
490,리페로,36.3399405,127.4485898,1,100%,N,Y
"1,054",TUNIST(튜니스트),37.27998928,126.8474488,2,0%,Y,Y
"1,391",GT모터스,37.6470771,126.6246296,2,0%,N,Y
"1,810",상주타이어,36.4087333,128.1503578,0.5,100.00%,N,Y
"2,068",픽 모터스,37.2065851,126.9833698,2,25%,N,Y
"2,111",케이게러지,37.3131131,126.8221419,0.5,0%,N,Y
"3,778",서부카센타,37.0651945,127.05445,3,17%,N,Y
63,오일팩토리,36.078572,128.3524416,1,50%,N,Y
828,만도카서비스,35.8706198,129.2167541,0,,N,Y
990,프로미월드제주이도점,33.4879385,126.5395378,1.5,0%,N,Y
"1,722",타이어프로 활천점,35.2350253,128.8911515,0.5,0.00%,N,Y
"1,782",탑중앙자동차정비공업사,35.2074249,128.7080352,0.5,0%,N,Y
"1,786",한국타이어T스테이션 서동점,35.5784649,129.3423847,1,0%,N,Y
"2,018",카프렌즈,35.2704884,128.5266163,1.5,0.00%,N,Y
"2,884",어바웃모터스,37.7452425,127.0898807,2,25%,Y,Y
"2,950",추부1급자동차공업사,36.1880895,127.4551234,0.5,0%,N,Y
"3,049",에이비타이어모터스 울산 중구점,35.5705556,129.3492837,2,50%,N,Y
"3,381",타이어프로 서김해IC점,35.2240846,128.8492332,2.5,20%,N,Y
"3,414",스피드메이트 하계점,37.6419593,127.0703542,2,0%,N,Y
"1,352",호성 자동차1급정비,35.2104628,128.8045417,2,0%,N,Y
"1,417",타이어마트,35.292993,128.7838776,1.5,33%,N,Y
"1,443",에이치모터스,35.19633456,129.0993716,0,,N,Y
"1,808",아모르모터스,35.8417752,128.4885764,1.5,0%,N,Y
"2,487",르노코리아경주점,35.8665288,129.2234938,1.5,33%,N,Y
"3,711",카젠 금곡점,37.2722981,126.9429934,2,50%,N,Y
267,타이어타운 담양점,35.3113404,126.9820535,0,,N,Y
306,강화현대공업사,37.7173807,126.4753768,1.5,0%,N,Y
770,타이어프로 백운점,35.13905714,126.9015028,0.5,0.00%,N,Y
"2,818",아우토반 모토웍스,37.5084715,127.1520697,1,50.00%,Y,Y
"3,016",에이비타이어모터스,35.5397488,129.3199268,1,50%,N,Y
"3,745",삼성모터스케어,35.8545899,128.5377187,1.5,0%,N,Y
"3,811",차사랑,37.8376609,127.0550179,1.5,0%,N,Y
"3,844",티스테이션천안원성점,36.7988714,127.1565244,1.5,0%,N,Y
"3,877",와이모터스,35.2698358,129.092961,1,0.00%,N,Y
65,털보카서비스,34.8700288,128.730963,0.5,0%,N,Y
528,한국지엠 고창바로정비서비스,35.4368406,126.6917592,0.5,0%,N,Y
782,1급태재자동차공업사,37.3498487,127.1688926,0,,N,Y
967,스피트메이트 함양점,35.5214813,127.7236824,0,,N,Y
978,대왕카서비스,35.1858337,129.0874135,0.5,0%,N,Y
"1,806",서울오토프라자,38.1012425,127.0757197,0.5,0%,N,Y
"2,079",TMJ모터스,37.7205343,126.8486691,0.5,100%,N,Y
"2,090",타이어크루,37.2202745,126.9770564,0,,N,Y
"2,117",세광자동차정비,37.4923824,126.76837,0,,N,Y
"2,155",태백카센타,37.1587174,128.989432,0.5,0%,N,Y
"3,447",한스모터스,37.8035998,127.1030582,1,0%,N,Y
"3,645",KC모터스,37.7356898,127.2144643,1,50%,N,Y
927,한국타이어티스테이션진종합정비,36.8205383,128.6227528,0.5,0%,N,Y
"1,711",919모터스,37.4614968,130.8746612,0,,N,Y
"1,716",보쉬카서비스 구미점 카마이웨이,36.13384523,128.4259921,0,,N,Y
"3,480",르노코리아갈현점,37.6281473,126.9192133,0.5,100.00%,N,Y
"3,513",도당현대모터스,37.5216002,126.7953124,0.5,0%,Y,Y
"2,041",카닥엔진오일TEST,37.5181499,130.798102,0,,N,Y
"2,091",주식회사 씨티엘,35.1836682,128.1433914,0,,N,Y
"3,348",뉴삼성카서비스,37.5424298,127.2195149,0,,N,Y
"3,546",한국지엠성서바로서비스,35.8353159,128.4861089,0,,N,Y
"3,579",르노코리아 서비스코너 답십리점,37.5733613,127.0663381,0,,N,Y
"3,678",아트모빌,37.7734693,126.7526452,0,,N,Y
"3,910",(주)엔카모터스,37.2294342,127.0472473,0,,N,Y
"3,943",구트개러지,35.2568016,129.0943049,0,,N,Y
"3,976",발통천국 본점,35.8371453,128.536376,0,,N,Y
"4,009",공임천국 이천부발점,37.2789913,127.4861399,0,,N,Y
"4,042",젠틀모터스,37.7277935,126.705175,0,,N,Y
